type,image,truth,pred,recomputed_pred,correct,crop_path,column,chosen_digit,filled_digits,argmax_digit,min_count,threshold,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9
mssv,b1262cde00f981a7d8e8.jpg,83095176,?3095176,?3095176,False,data\eval_artifacts\b1262cde00f981a7d8e8\crops\mssv.png,1,?,,8,339,459,376,339,366,367,344,370,385,340,444,363
mssv,b1262cde00f981a7d8e8.jpg,83095176,?3095176,?3095176,False,data\eval_artifacts\b1262cde00f981a7d8e8\crops\mssv.png,2,3,3,3,339,459,378,342,358,555,345,368,376,339,369,367
mssv,b1262cde00f981a7d8e8.jpg,83095176,?3095176,?3095176,False,data\eval_artifacts\b1262cde00f981a7d8e8\crops\mssv.png,3,0,0,0,355,475,543,365,369,366,357,368,389,355,371,365
mssv,b1262cde00f981a7d8e8.jpg,83095176,?3095176,?3095176,False,data\eval_artifacts\b1262cde00f981a7d8e8\crops\mssv.png,4,9,9,9,340,460,387,349,370,366,376,384,390,340,376,541
mssv,b1262cde00f981a7d8e8.jpg,83095176,?3095176,?3095176,False,data\eval_artifacts\b1262cde00f981a7d8e8\crops\mssv.png,5,5,5,5,336,456,388,347,382,382,352,545,383,336,371,358
mssv,b1262cde00f981a7d8e8.jpg,83095176,?3095176,?3095176,False,data\eval_artifacts\b1262cde00f981a7d8e8\crops\mssv.png,6,1,1,1,320,440,377,560,373,371,362,374,379,320,355,353
mssv,b1262cde00f981a7d8e8.jpg,83095176,?3095176,?3095176,False,data\eval_artifacts\b1262cde00f981a7d8e8\crops\mssv.png,7,7,7,7,342,462,385,342,367,369,361,367,369,529,360,359
mssv,b1262cde00f981a7d8e8.jpg,83095176,?3095176,?3095176,False,data\eval_artifacts\b1262cde00f981a7d8e8\crops\mssv.png,8,6,6,6,324,444,374,344,373,370,352,374,526,324,354,365
mssv,e42559f375d4f48aadc5.jpg,22012467,??01????,??01????,False,data\eval_artifacts\e42559f375d4f48aadc5\crops\mssv.png,1,?,,2,323,443,377,323,419,374,374,376,388,347,390,346
mssv,e42559f375d4f48aadc5.jpg,22012467,??01????,??01????,False,data\eval_artifacts\e42559f375d4f48aadc5\crops\mssv.png,2,?,,2,346,466,384,346,430,364,347,366,388,346,374,391
mssv,e42559f375d4f48aadc5.jpg,22012467,??01????,??01????,False,data\eval_artifacts\e42559f375d4f48aadc5\crops\mssv.png,3,0,0,0,339,459,492,352,380,387,360,390,389,339,389,393
mssv,e42559f375d4f48aadc5.jpg,22012467,??01????,??01????,False,data\eval_artifacts\e42559f375d4f48aadc5\crops\mssv.png,4,1,1,1,347,467,406,498,362,359,383,388,400,347,393,377
mssv,e42559f375d4f48aadc5.jpg,22012467,??01????,??01????,False,data\eval_artifacts\e42559f375d4f48aadc5\crops\mssv.png,5,?,,0,350,470,395,354,375,375,353,384,372,350,374,391
mssv,e42559f375d4f48aadc5.jpg,22012467,??01????,??01????,False,data\eval_artifacts\e42559f375d4f48aadc5\crops\mssv.png,6,?,,0,317,437,387,357,378,371,385,366,371,317,371,357
mssv,e42559f375d4f48aadc5.jpg,22012467,??01????,??01????,False,data\eval_artifacts\e42559f375d4f48aadc5\crops\mssv.png,7,?,,0,334,454,396,334,369,376,360,358,368,350,364,363
mssv,e42559f375d4f48aadc5.jpg,22012467,??01????,??01????,False,data\eval_artifacts\e42559f375d4f48aadc5\crops\mssv.png,8,?,,7,340,460,370,364,382,376,340,373,392,438,370,412
mssv,19859f7bb35c32026b4d.jpg,12025946,1202?946,1202?946,False,data\eval_artifacts\19859f7bb35c32026b4d\crops\mssv.png,1,1,1,1,344,464,390,530,384,382,362,388,382,344,373,385
mssv,19859f7bb35c32026b4d.jpg,12025946,1202?946,1202?946,False,data\eval_artifacts\19859f7bb35c32026b4d\crops\mssv.png,2,2,2,2,350,470,407,366,513,369,364,370,394,350,385,373
mssv,19859f7bb35c32026b4d.jpg,12025946,1202?946,1202?946,False,data\eval_artifacts\19859f7bb35c32026b4d\crops\mssv.png,3,0,0,0,365,485,563,365,375,391,389,391,385,368,390,380
mssv,19859f7bb35c32026b4d.jpg,12025946,1202?946,1202?946,False,data\eval_artifacts\19859f7bb35c32026b4d\crops\mssv.png,4,2,2,2,337,457,391,376,556,381,391,379,398,337,395,392
mssv,19859f7bb35c32026b4d.jpg,12025946,1202?946,1202?946,False,data\eval_artifacts\19859f7bb35c32026b4d\crops\mssv.png,5,?,,5,353,473,407,370,374,374,366,453,394,353,388,385
mssv,19859f7bb35c32026b4d.jpg,12025946,1202?946,1202?946,False,data\eval_artifacts\19859f7bb35c32026b4d\crops\mssv.png,6,9,9,9,332,452,399,374,394,394,382,369,396,332,367,481
mssv,19859f7bb35c32026b4d.jpg,12025946,1202?946,1202?946,False,data\eval_artifacts\19859f7bb35c32026b4d\crops\mssv.png,7,4,4,4,339,459,408,380,376,390,491,375,372,339,386,378
mssv,19859f7bb35c32026b4d.jpg,12025946,1202?946,1202?946,False,data\eval_artifacts\19859f7bb35c32026b4d\crops\mssv.png,8,6,6,6,348,468,391,360,393,376,378,389,493,348,385,381
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,1,1,1,1,310,430,335,474,347,346,339,337,340,310,351,337
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,2,2,2,2,320,440,354,324,453,346,338,341,349,320,350,352
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,3,0,0,0,319,439,500,331,345,357,344,354,363,319,359,354
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,4,2,2,2,321,441,371,333,492,352,351,352,362,321,350,351
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,5,?,,5,314,434,362,335,355,351,346,430,347,314,347,347
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,6,?,,9,311,431,366,332,351,346,335,341,355,311,337,417
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,7,4,4,4,306,426,367,329,343,336,465,337,336,306,338,341
mssv,502b9fc8b3ef32b16bfe.jpg,12025946,1202??4?,1202??4?,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,8,?,,6,305,425,338,322,340,333,327,340,420,305,338,333
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,1,1,1,1,315,435,330,466,328,335,327,340,341,315,319,328
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,2,?,,2,306,426,346,306,411,340,329,335,351,316,323,360
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,3,0,0,0,319,439,471,333,346,340,319,351,343,319,350,365
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,4,2,2,2,313,433,357,333,496,345,344,313,370,320,350,344
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,5,5,5,5,297,417,363,332,354,338,314,422,349,297,347,352
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,6,?,,9,302,422,360,311,346,331,334,346,358,302,330,380
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,7,4,4,4,304,424,356,321,322,340,470,337,346,304,316,344
mssv,d2d96838441fc5419c0e.jpg,12025946,1?025?46,1?025?46,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,8,6,6,6,289,409,329,317,345,351,315,349,437,289,342,342
mssv,14405a4e7669f737ae78.jpg,41739528,?17??5??,?17??5??,False,data\eval_artifacts\14405a4e7669f737ae78\crops\mssv.png,1,?,,4,362,482,386,364,382,376,444,387,392,362,391,379
