image,field,group,item_index,sub_index,token,label,truth,split,dataset_path,cell_path,normalized_path
4461f793dbb45aea03a5.jpg,mssv,mssv,1,8,8,1,8,train,mssv_binary\train\filled\4461f793dbb45aea03a5__mssv__g-mssv__i-1__s-8__8.png,cells\mssv\label_1\4461f793dbb45aea03a5\mssv_c01_d8.png,normalized\4461f793dbb45aea03a5\mssv.png
4461f793dbb45aea03a5.jpg,mssv,mssv,2,3,3,1,3,train,mssv_binary\train\filled\4461f793dbb45aea03a5__mssv__g-mssv__i-2__s-3__3.png,cells\mssv\label_1\4461f793dbb45aea03a5\mssv_c02_d3.png,normalized\4461f793dbb45aea03a5\mssv.png
4461f793dbb45aea03a5.jpg,mssv,mssv,3,0,0,1,0,train,mssv_binary\train\filled\4461f793dbb45aea03a5__mssv__g-mssv__i-3__s-0__0.png,cells\mssv\label_1\4461f793dbb45aea03a5\mssv_c03_d0.png,normalized\4461f793dbb45aea03a5\mssv.png
4461f793dbb45aea03a5.jpg,mssv,mssv,4,9,9,1,9,train,mssv_binary\train\filled\4461f793dbb45aea03a5__mssv__g-mssv__i-4__s-9__9.png,cells\mssv\label_1\4461f793dbb45aea03a5\mssv_c04_d9.png,normalized\4461f793dbb45aea03a5\mssv.png
4461f793dbb45aea03a5.jpg,mssv,mssv,5,5,5,1,5,train,mssv_binary\train\filled\4461f793dbb45aea03a5__mssv__g-mssv__i-5__s-5__5.png,cells\mssv\label_1\4461f793dbb45aea03a5\mssv_c05_d5.png,normalized\4461f793dbb45aea03a5\mssv.png
4461f793dbb45aea03a5.jpg,mssv,mssv,6,1,1,1,1,train,mssv_binary\train\filled\4461f793dbb45aea03a5__mssv__g-mssv__i-6__s-1__1.png,cells\mssv\label_1\4461f793dbb45aea03a5\mssv_c06_d1.png,normalized\4461f793dbb45aea03a5\mssv.png
4461f793dbb45aea03a5.jpg,mssv,mssv,7,7,7,1,7,train,mssv_binary\train\filled\4461f793dbb45aea03a5__mssv__g-mssv__i-7__s-7__7.png,cells\mssv\label_1\4461f793dbb45aea03a5\mssv_c07_d7.png,normalized\4461f793dbb45aea03a5\mssv.png
4461f793dbb45aea03a5.jpg,mssv,mssv,8,6,6,1,6,train,mssv_binary\train\filled\4461f793dbb45aea03a5__mssv__g-mssv__i-8__s-6__6.png,cells\mssv\label_1\4461f793dbb45aea03a5\mssv_c08_d6.png,normalized\4461f793dbb45aea03a5\mssv.png
bd65cc80e0a761f938b6.jpg,mssv,mssv,1,8,8,1,8,train,mssv_binary\train\filled\bd65cc80e0a761f938b6__mssv__g-mssv__i-1__s-8__8.png,cells\mssv\label_1\bd65cc80e0a761f938b6\mssv_c01_d8.png,normalized\bd65cc80e0a761f938b6\mssv.png
bd65cc80e0a761f938b6.jpg,mssv,mssv,2,3,3,1,3,train,mssv_binary\train\filled\bd65cc80e0a761f938b6__mssv__g-mssv__i-2__s-3__3.png,cells\mssv\label_1\bd65cc80e0a761f938b6\mssv_c02_d3.png,normalized\bd65cc80e0a761f938b6\mssv.png
