Index | Char | Confidence (Count) | All occurrences
--------------------------------------------------
    1 | None |                0 | {}
    2 | None |                0 | {}
    3 | None |                0 | {}
    4 | None |                0 | {}
    5 | None |                0 | {}
    6 | None |                0 | {}
    7 | None |                0 | {}
    8 | None |                0 | {}
    9 | None |                0 | {}
   10 | None |                0 | {}
   11 | a    |              129 | {'a': 129}
   12 | None |                0 | {}
   13 | c    |               72 | {'c': 72}
   14 | None |                0 | {}
   15 | None |                0 | {}
   16 | None |                0 | {}
   17 | g    |              282 | {'g': 282}
   18 | h    |              369 | {'h': 369}
   19 | i    |              194 | {'i': 194}
   20 | None |                0 | {}
   21 | None |                0 | {}
   22 | None |                0 | {}
   23 | m    |               53 | {'m': 53}
   24 | n    |              558 | {'n': 558}
   25 | o    |               66 | {'o': 66}
   26 | p    |                9 | {'p': 9}
   27 | None |                0 | {}
   28 | r    |               77 | {'r': 77}
   29 | None |                0 | {}
   30 | t    |               34 | {'t': 34}
   31 | u    |              210 | {'u': 210, 'ú': 1, 'y': 1}
   32 | None |                0 | {}
   33 | None |                0 | {}
   34 | None |                0 | {}
   35 | y    |              125 | {'y': 125, 'ể': 1, 'ỹ': 1}
   36 | None |                0 | {}
   37 | A    |               27 | {'A': 27}
   38 | B    |               27 | {'B': 27}
   39 | C    |               38 | {'C': 38}
   40 | D    |               40 | {'D': 40}
   41 | None |                0 | {}
   42 | None |                0 | {}
   43 | G    |               23 | {'G': 23}
   44 | H    |               85 | {'H': 85}
   45 | None |                0 | {}
   46 | None |                0 | {}
   47 | K    |               58 | {'K': 58}
   48 | L    |               82 | {'L': 82}
   49 | M    |               61 | {'M': 61}
   50 | N    |              143 | {'N': 143}
   51 | None |                0 | {}
   52 | P    |               61 | {'P': 61}
   53 | Q    |               34 | {'Q': 34}
   54 | None |                0 | {}
   55 | S    |               10 | {'S': 10}
   56 | T    |              240 | {'T': 240}
   57 | U    |                6 | {'U': 6}
   58 | V    |               64 | {'V': 64}
   59 | None |                0 | {}
   60 | X    |                1 | {'X': 1}
   61 | Y    |                8 | {'Y': 8}
   62 | None |                0 | {}
   63 | à    |               46 | {'à': 46}
   64 | á    |               31 | {'á': 31}
   65 | ả    |               35 | {'ả': 35}
   66 | ã    |                7 | {'ã': 7}
   67 | ạ    |               26 | {'ạ': 26}
   68 | ă    |               25 | {'ă': 25}
   69 | ắ    |                1 | {'ắ': 1}
   70 | ằ    |                3 | {'ằ': 3}
   71 | None |                0 | {}
   72 | None |                0 | {}
   73 | ặ    |                8 | {'ặ': 8}
   74 | â    |               28 | {'â': 28}
   75 | ấ    |               24 | {'ấ': 24}
   76 | ầ    |               45 | {'ầ': 45}
   77 | ẩ    |                1 | {'ẩ': 1}
   78 | ẫ    |                2 | {'ẫ': 2}
   79 | ậ    |                7 | {'ậ': 7}
   80 | None |                0 | {}
   81 | None |                0 | {}
   82 | None |                0 | {}
   83 | None |                0 | {}
   84 | None |                0 | {}
   85 | ê    |               55 | {'ê': 55}
   86 | ế    |               15 | {'ế': 15}
   87 | ề    |               26 | {'ề': 26}
   88 | ể    |                1 | {'ể': 1}
   89 | ễ    |               71 | {'ễ': 71}
   90 | ệ    |               24 | {'ệ': 24}
   91 | ì    |                6 | {'ì': 6}
   92 | í    |                3 | {'í': 3}
   93 | None |                0 | {}
   94 | None |                0 | {}
   95 | ị    |               34 | {'ị': 34, 'ọ': 1}
   96 | None |                0 | {}
   97 | None |                0 | {}
   98 | None |                0 | {}
   99 | õ    |                6 | {'õ': 6}
  100 | ọ    |               32 | {'ọ': 32}
  101 | ô    |               14 | {'ô': 14}
  102 | ố    |               12 | {'ố': 12}
  103 | ồ    |                3 | {'ồ': 3}
  104 | None |                0 | {}
  105 | ỗ    |               14 | {'ỗ': 14}
  106 | None |                0 | {}
  107 | ơ    |               44 | {'ơ': 44}
  108 | ớ    |                1 | {'ớ': 1}
  109 | ờ    |               12 | {'ờ': 12}
  110 | None |                0 | {}
  111 | None |                0 | {}
  112 | None |                0 | {}
  113 | ù    |               17 | {'ù': 17}
  114 | ú    |               30 | {'ú': 30}
  115 | ủ    |                2 | {'ủ': 2}
  116 | ũ    |               28 | {'ũ': 28}
  117 | ụ    |                8 | {'ụ': 8, 'ư': 1}
  118 | ư    |               59 | {'ư': 59}
  119 | ứ    |               14 | {'ứ': 14, 'ắ': 1}
  120 | None |                0 | {}
  121 | None |                0 | {}
  122 | ữ    |                1 | {'ữ': 1}
  123 | None |                0 | {}
  124 | ỳ    |               10 | {'ỳ': 10}
  125 | ý    |                6 | {'ý': 6}
  126 | None |                0 | {}
  127 | ỹ    |                4 | {'ỹ': 4}
  128 | None |                0 | {}
  129 | None |                0 | {}
  130 | None |                0 | {}
  131 | Á    |                4 | {'Á': 4, 'Â': 1}
  132 | None |                0 | {}
  133 | None |                0 | {}
  134 | None |                0 | {}
  135 | None |                0 | {}
  136 | None |                0 | {}
  137 | None |                0 | {}
  138 | None |                0 | {}
  139 | None |                0 | {}
  140 | None |                0 | {}
  141 | None |                0 | {}
  142 | None |                0 | {}
  143 | None |                0 | {}
  144 | None |                0 | {}
  145 | None |                0 | {}
  146 | None |                0 | {}
  147 | None |                0 | {}
  148 | None |                0 | {}
  149 | None |                0 | {}
  150 | None |                0 | {}
  151 | None |                0 | {}
  152 | None |                0 | {}
  153 | None |                0 | {}
  154 | None |                0 | {}
  155 | None |                0 | {}
  156 | None |                0 | {}
  157 | None |                0 | {}
  158 | None |                0 | {}
  159 | None |                0 | {}
  160 | None |                0 | {}
  161 | None |                0 | {}
  162 | None |                0 | {}
  163 | None |                0 | {}
  164 | None |                0 | {}
  165 | None |                0 | {}
  166 | None |                0 | {}
  167 | None |                0 | {}
  168 | None |                0 | {}
  169 | None |                0 | {}
  170 | None |                0 | {}
  171 | None |                0 | {}
  172 | None |                0 | {}
  173 | None |                0 | {}
  174 | None |                0 | {}
  175 | None |                0 | {}
  176 | None |                0 | {}
  177 | None |                0 | {}
  178 | None |                0 | {}
  179 | None |                0 | {}
  180 | None |                0 | {}
  181 | None |                0 | {}
  182 | None |                0 | {}
  183 | None |                0 | {}
  184 | None |                0 | {}
  185 | None |                0 | {}
  186 | None |                0 | {}
  187 | None |                0 | {}
  188 | None |                0 | {}
  189 | None |                0 | {}
  190 | None |                0 | {}
  191 | None |                0 | {}
  192 | None |                0 | {}
  193 | None |                0 | {}
  194 | None |                0 | {}
  195 | None |                0 | {}
  196 | Đ    |               61 | {'Đ': 61}
  197 | None |                0 | {}
